Skill	Bbn	Brd	Clr	Drd	Ftr	Mnk	Pal	Rgr	Rog	Sor	Wiz	Untrained	Ability
Acrobatics	C	C	—	—	—	C	—	—	C	—	—	Yes	Dex*
Appraise	—	C	C	—	—	—	—	—	C	C	C	Yes	Int
Bluff	—	C	—	—	—	—	—	—	C	C	—	Yes	Cha
Climb	C	C	—	C	C	C	—	C	C	—	—	Yes	Str*
Craft	C	C	C	C	C	C	C	C	C	C	C	Yes	Int
Diplomacy	—	C	C	—	—	—	C	—	C	—	—	Yes	Cha
Disable Device	—	—	—	—	—	—	—	—	C	—	—	No	Dex*
Disguise	—	C	—	—	—	—	—	—	C	—	—	Yes	Cha
Escape Artist	—	C	—	—	—	C	—	—	C	—	—	Yes	Dex*
Fly	—	—	—	C	—	—	—	—	—	C	C	Yes	Dex*
Handle Animal	C	—	—	C	C	—	C	C	—	—	—	No	Cha
Heal	—	—	C	C	—	—	C	C	—	—	—	Yes	Wis
Intimidate	C	C	—	—	C	C	—	C	C	C	—	Yes	Cha
Knowledge (arcana)	—	C	C	—	—	—	—	—	—	C	C	No	Int
Knowledge (dungeoneering)	—	C	—	—	C	—	—	C	C	—	C	No	Int
Knowledge (engineering)	—	C	—	—	C	—	—	—	—	—	C	No	Int
Knowledge (geography)	—	C	—	C	—	—	—	C	—	—	C	No	Int
Knowledge (history)	—	C	C	—	—	C	—	—	—	—	C	No	Int
Knowledge (local)	—	C	—	—	—	—	—	—	C	—	C	No	Int
Knowledge (nature)	C	C	—	C	—	—	—	C	—	—	C	No	Int
Knowledge (nobility)	—	C	C	—	—	—	C	—	—	—	C	No	Int
Knowledge (planes)	—	C	C	—	—	—	—	—	—	—	C	No	Int
Knowledge (religion)	—	C	C	—	—	C	C	—	—	—	C	No	Int
Linguistics	—	C	C	—	—	—	—	—	C	—	C	No	Int
Perception	C	C	—	C	—	C	—	C	C	—	—	Yes	Wis
Perform	—	C	—	—	—	C	—	—	C	—	—	Yes	Cha
Profession	—	C	C	C	C	C	C	C	C	C	C	No	Wis
Ride	C	—	—	C	C	C	C	C	—	—	—	Yes	Dex*
Sense Motive	—	C	C	—	—	C	C	—	C	—	—	Yes	Wis
Sleight of Hand	—	C	—	—	—	—	—	—	C	—	—	No	Dex*
Spellcraft	—	C	C	C	—	—	C	C	—	C	C	No	Int
Stealth	—	C	—	—	—	C	—	C	C	—	—	Yes	Dex*
Survival	C	—	—	C	C	—	—	C	—	—	—	Yes	Wis
Swim	C	—	—	C	C	C	—	C	C	—	—	Yes	Str*
Use Magic Device	—	C	—	—	—	—	—	—	C	C	—	No	Cha
